ga:sourceMedium,ga:pageTitle,ga:users,ga:bounceRate,ga:pageviews,ga:pageviewsPerSession,ga:avgTimeOnPage
facebook / cpc,"Bikin Lambe Turah Diomelin, Nih Si Seksi yang Lengket-lengket sama Gading",13736.0,19.2699674737983,83593.0,6.0421395012649,21.790188754562
facebook / cpc,Heboh! Kiki Farel Transfer Uang Jajan Rp 1 Juta ke Selebgram Mimi Peri,15909.0,62.3037627709942,74032.0,4.61201096436581,16.3305526767359
facebook / cpc,"Tak Sesuai Harapan, Barang Belanja Online Ini Bikin Ngakak",7748.0,30.9345200254291,54657.0,6.94939605848696,21.429337989481
facebook / cpc,"Antar 'Tuyul', 7 Pengemudi Grab Dibekuk",43893.0,6.96621949248424,47924.0,1.10655983744718,5.05639652944434
facebook / cpc,Melihat Kantor Pelayanan Grab Driver Center,41155.0,11.6302186878727,44072.0,43.8091451292246,180.944233021077
facebook / cpc,2 Pelajar di Yogya Lempar Batu ke Mobil hingga Tewaskan Pengemudinya,28334.0,82.6717098518859,30570.0,1.08063204779242,123.586300872093
facebook / cpc,Sultan Brunei Laporkan Kasus Pencemaran Nama Baik ke Polda Metro,22885.0,81.5630472854641,24941.0,1.0919877408056,128.925824753099
facebook / cpc,"Kabar Duka, Sys NS Meninggal Dunia",5180.0,12.7140326707341,24097.0,4.74257036016532,7.38217138707334
facebook / cpc,"Viral Wali Kota Mataram Tendang Satpol PP, Ini Cerita di Baliknya",23208.0,95.3512666492556,23989.0,1.0441803778184,189.999192897497
facebook / cpc,Polisi Amankan Istri yang Jual Suami Demi Layanan Fantasi,21116.0,88.1442074763691,22642.0,1.07547617916686,147.962989072964
facebook / cpc,"TNI AD Merasa Dilecehkan di Acara, Stasiun TV Swasta Minta Maaf",20685.0,88.7213685126123,22220.0,1.07374118101865,174.990936555891
facebook / cpc,"Ramai Soal Gaya Rambut Pasha 'Ungu', Kemendagri akan Beri Teguran",5144.0,11.3688650306748,5602.0,1.07400306748466,9.40882051282051
facebook / cpc,"Sys NS Meninggal Dunia, Selamat Jalan!",4651.0,50.0,5557.0,44.1031746031746,77.2247933884297
facebook / cpc,Pasha 'Ungu' Digugat DPRD Palu karena Nyanyi di Singapura,4597.0,50.0,4839.0,268.833333333333,80.5901890648952
facebook / cpc,"Gempa 6,4 SR Guncang Jakarta",3717.0,50.0,4220.0,78.1481481481481,256.06209850107
facebook / cpc,Hijabers Cantik Ini Pakai Seragam Sekolah Naik Nissan GT-R,3448.0,86.3490207541654,3744.0,1.09441683718211,103.057335581787
facebook / cpc,Video Truk Goyang dan Foto Jalan Retak Bukan Akibat Gempa Banten,3070.0,17.0707732634338,3430.0,1.12385321100917,14.5654172560113
facebook / cpc,Begini Gaya Nyentrik Pasha 'Ungu' yang Menuai Kontroversi,2604.0,50.0,2918.0,81.0555555555555,111.415929203539
facebook / cpc,Gempa Keras Guncang Jakarta,2316.0,39.7483690587138,2918.0,1.35973904939422,74.7812858783008
facebook / cpc,Ini Gaya Rambut Pasha 'Ungu' yang Dianggap Langgar Etika,610.0,43.2773109243697,1939.0,4.0735294117647,37.606404269513
facebook / cpc,"Bentrokan LPI-FPI Vs Warga Pamekasan, Ini kata Kapolda Jatim",1167.0,69.3181818181818,1356.0,1.54090909090909,101.589327146171
facebook / cpc,Konsep Penataan Tanah Abang ala Anies Diprotes Sopir Angkot!,1212.0,40.0,1320.0,29.3333333333333,227.665662650602
facebook / cpc,2 Pelajar yang Lempar Batu hingga Tewaskan 1 Orang di Yogya Mabuk,1194.0,66.6666666666666,1248.0,46.2222222222222,134.151111111111
facebook / cpc,Sopir Angkot Bentangkan Spanduk Protes Penutupan Jalan Tanah Abang,1149.0,4.81283422459893,1221.0,1.08823529411764,4.34491978609625
facebook / cpc,Grab Gandeng Polisi Ungkap Kasus Driver Antar 'Tuyul' di Kota Lain,1059.0,63.4275618374558,1194.0,2.1095406360424,97.5989399293286
